Datetime,AAPL High,AAL High,AAP High,A High,ABBV High,ABT High,ACGL High,ACN High
2024-01-16 09:30:00-05:00,182.6199951171875,13.140000343322754,61.459999084472656,129.38999938964844,162.1199951171875,113.69000244140625,78.52999877929688,353.7900085449219
2024-01-16 09:31:00-05:00,182.58999633789062,13.0649995803833,61.400001525878906,129.5,,113.55000305175781,78.62999725341797,354.3399963378906
2024-01-16 09:32:00-05:00,182.47999572753906,12.959500312805176,61.45500183105469,129.07000732421875,162.1199951171875,113.41000366210938,78.4000015258789,354.2099914550781
2024-01-16 09:33:00-05:00,182.5800018310547,12.956000328063965,61.70000076293945,128.91000366210938,161.9199981689453,113.19499969482422,78.2750015258789,354.57000732421875
2024-01-16 09:34:00-05:00,182.4499969482422,12.925000190734863,61.685001373291016,128.89999389648438,162.16250610351562,113.27999877929688,78.33999633789062,354.4599914550781
2024-01-16 09:35:00-05:00,182.55999755859375,12.899999618530273,61.599998474121094,129.23500061035156,162.11000061035156,113.37999725341797,78.12000274658203,354.6300048828125
2024-01-16 09:36:00-05:00,182.66000366210938,12.899999618530273,61.20000076293945,129.1300048828125,162.10000610351562,113.31500244140625,78.2499008178711,354.6400146484375
2024-01-16 09:37:00-05:00,182.5,12.899999618530273,61.150001525878906,129.10000610351562,162.27999877929688,113.5,78.18000030517578,354.54998779296875
2024-01-16 09:38:00-05:00,182.4199981689453,12.880000114440918,60.95000076293945,129.33999633789062,162.21279907226562,113.46499633789062,78.30999755859375,354.6300048828125
2024-01-16 09:39:00-05:00,182.1699981689453,12.920000076293945,61.04999923706055,129.3699951171875,162.0399932861328,113.37999725341797,78.08999633789062,354.7099914550781
2024-01-16 09:40:00-05:00,182.1300048828125,12.970000267028809,61.150001525878906,129.38999938964844,161.9199981689453,113.2699966430664,77.80000305175781,354.5299987792969
2024-01-16 09:41:00-05:00,182.14999389648438,12.970000267028809,61.19499969482422,129.5299072265625,161.75880432128906,113.19999694824219,77.91000366210938,354.2807922363281
2024-01-16 09:42:00-05:00,182.1999969482422,12.920000076293945,61.130001068115234,129.3699951171875,162.05999755859375,113.18000030517578,78.01499938964844,354.4200134277344
2024-01-16 09:43:00-05:00,182.41000366210938,12.949999809265137,61.0526008605957,129.14999389648438,162.0,113.08000183105469,78.0199966430664,354.9200134277344
2024-01-16 09:44:00-05:00,182.3300018310547,12.949999809265137,61.30500030517578,129.1999969482422,161.9398956298828,113.12999725341797,78.09500122070312,354.9800109863281
2024-01-16 09:45:00-05:00,182.25,12.949999809265137,61.400001525878906,,161.85000610351562,113.11000061035156,78.06500244140625,354.47601318359375
2024-01-16 09:46:00-05:00,181.9499969482422,12.960000038146973,61.31999969482422,129.38999938964844,161.75,113.18000030517578,78.19999694824219,354.3999938964844
2024-01-16 09:47:00-05:00,181.52499389648438,12.958000183105469,61.334999084472656,129.39999389648438,161.72999572753906,113.23500061035156,78.38999938964844,353.6099853515625
2024-01-16 09:48:00-05:00,181.5399932861328,12.975000381469727,61.380001068115234,129.13499450683594,161.67999267578125,113.20999908447266,78.44999694824219,353.7300109863281
2024-01-16 09:49:00-05:00,181.47000122070312,12.989999771118164,61.38999938964844,129.2899932861328,161.63499450683594,113.12999725341797,78.33000183105469,353.5849914550781
2024-01-16 09:50:00-05:00,181.19000244140625,12.989999771118164,61.560001373291016,129.5399932861328,161.74000549316406,113.27999877929688,78.4000015258789,353.3949890136719
2024-01-16 09:51:00-05:00,181.15699768066406,12.970000267028809,61.52000045776367,129.41000366210938,161.60000610351562,113.2300033569336,78.30999755859375,352.95001220703125
2024-01-16 09:52:00-05:00,181.08999633789062,12.988900184631348,61.6349983215332,129.22999572753906,161.47000122070312,113.16000366210938,78.06999969482422,353.19000244140625
2024-01-16 09:53:00-05:00,181.2899932861328,12.984999656677246,61.689998626708984,129.47999572753906,161.52999877929688,113.12999725341797,78.27999877929688,353.44000244140625
2024-01-16 09:54:00-05:00,181.38999938964844,12.949999809265137,61.42499923706055,129.10499572753906,161.72999572753906,113.11000061035156,78.2300033569336,353.2799987792969
2024-01-16 09:55:00-05:00,181.3800048828125,12.9399995803833,61.43000030517578,,161.74000549316406,113.2300033569336,78.19999694824219,353.5400085449219
2024-01-16 09:56:00-05:00,181.35000610351562,12.9399995803833,61.34000015258789,129.1699981689453,161.74000549316406,113.23999786376953,78.19000244140625,353.3399963378906
2024-01-16 09:57:00-05:00,181.30999755859375,12.924400329589844,61.152000427246094,129.17999267578125,161.7100067138672,113.19999694824219,78.27999877929688,353.385009765625
2024-01-16 09:58:00-05:00,181.34800720214844,12.899999618530273,61.08000183105469,129.0124969482422,161.625,113.1449966430664,78.3584976196289,353.3534851074219
2024-01-16 09:59:00-05:00,181.3699951171875,12.889900207519531,61.04999923706055,128.96499633789062,161.72000122070312,113.16999816894531,78.55000305175781,354.2699890136719
2024-01-16 10:00:00-05:00,181.36000061035156,12.90999984741211,61.2400016784668,129.11000061035156,161.86990356445312,113.31999969482422,78.51000213623047,354.2900085449219
2024-01-16 10:01:00-05:00,181.57000732421875,12.914999961853027,61.29999923706055,129.24000549316406,161.77000427246094,113.31800079345703,78.43499755859375,354.05499267578125
2024-01-16 10:02:00-05:00,181.72999572753906,12.906999588012695,61.119998931884766,129.32000732421875,161.74000549316406,113.27999877929688,78.48999786376953,353.8999938964844
2024-01-16 10:03:00-05:00,181.72999572753906,12.899999618530273,61.13999938964844,129.2899932861328,161.77000427246094,113.31999969482422,78.56999969482422,353.9100036621094
