Datetime,AAPL Low,AAL Low,AAP Low,A Low,ABBV Low,ABT Low,ACGL Low,ACN Low
2024-01-31 09:31:00-05:00,185.82000732421875,14.350000381469727,67.48500061035156,134.00999450683594,165.47999572753906,113.83999633789062,81.1500015258789,370.7950134277344
2024-01-31 09:32:00-05:00,185.89999389648438,14.34000015258789,67.37999725341797,133.7899932861328,165.47999572753906,113.80999755859375,81.1500015258789,371.30999755859375
2024-01-31 09:33:00-05:00,185.97000122070312,14.31029987335205,67.33000183105469,132.80999755859375,165.61000061035156,113.91000366210938,81.18000030517578,371.7799987792969
2024-01-31 09:34:00-05:00,186.33999633789062,14.319999694824219,67.54000091552734,132.77000427246094,165.11000061035156,113.94999694824219,81.12999725341797,371.3500061035156
2024-01-31 09:35:00-05:00,186.32000732421875,14.34000015258789,67.53250122070312,132.67999267578125,165.14999389648438,113.95999908447266,81.22000122070312,370.8399963378906
2024-01-31 09:36:00-05:00,186.30999755859375,14.332500457763672,67.2300033569336,133.03500366210938,165.19000244140625,114.0,81.22750091552734,370.7300109863281
2024-01-31 09:37:00-05:00,186.1300048828125,14.364999771118164,67.5199966430664,133.63999938964844,165.14010620117188,114.0708999633789,81.2156982421875,371.1050109863281
2024-01-31 09:38:00-05:00,185.83999633789062,14.399999618530273,67.55999755859375,,165.30999755859375,113.98999786376953,81.36000061035156,370.9100036621094
2024-01-31 09:39:00-05:00,185.6999969482422,14.40999984741211,67.30999755859375,133.27000427246094,165.35000610351562,113.95999908447266,81.4749984741211,370.80999755859375
2024-01-31 09:40:00-05:00,185.9199981689453,14.414999961853027,67.25,133.25999450683594,165.4199981689453,114.25,81.44999694824219,371.093994140625
2024-01-31 09:41:00-05:00,185.97999572753906,14.4399995803833,67.2300033569336,,165.64999389648438,114.36000061035156,81.41999816894531,370.7699890136719
2024-01-31 09:42:00-05:00,185.99000549316406,14.430000305175781,67.23500061035156,132.97000122070312,165.57000732421875,114.19000244140625,81.63999938964844,370.1300048828125
2024-01-31 09:43:00-05:00,185.64999389648438,14.430000305175781,67.28500366210938,,165.64500427246094,114.12999725341797,81.58999633789062,370.0
2024-01-31 09:44:00-05:00,185.3000030517578,14.460000038146973,67.2750015258789,132.52000427246094,165.63999938964844,114.12000274658203,81.58999633789062,369.3500061035156
2024-01-31 09:45:00-05:00,185.19000244140625,14.460000038146973,67.1500015258789,132.27000427246094,165.57000732421875,114.05000305175781,81.5999984741211,369.3500061035156
2024-01-31 09:46:00-05:00,185.0500030517578,14.4399995803833,67.19999694824219,,165.44000244140625,114.16000366210938,81.69000244140625,368.9700012207031
2024-01-31 09:47:00-05:00,185.02000427246094,14.444999694824219,66.94999694824219,132.5,165.07000732421875,114.27999877929688,81.6500015258789,368.0
2024-01-31 09:48:00-05:00,184.7899932861328,14.40999984741211,66.81999969482422,132.61000061035156,164.9300994873047,114.36900329589844,81.625,367.489990234375
2024-01-31 09:49:00-05:00,185.0399932861328,14.412400245666504,66.87000274658203,132.02999877929688,164.75999450683594,114.16999816894531,81.75869750976562,368.1549072265625
2024-01-31 09:50:00-05:00,185.0500030517578,14.449999809265137,67.01000213623047,,164.83999633789062,114.16000366210938,81.78500366210938,368.1449890136719
2024-01-31 09:51:00-05:00,184.97999572753906,14.449999809265137,67.09500122070312,132.1699981689453,164.82000732421875,114.16999816894531,81.75,367.4049987792969
2024-01-31 09:52:00-05:00,185.0800018310547,14.460000038146973,67.19000244140625,132.2899932861328,164.64999389648438,114.08999633789062,81.93000030517578,367.45001220703125
2024-01-31 09:53:00-05:00,185.0,14.470000267028809,67.12999725341797,132.2677001953125,164.6649932861328,114.0199966430664,82.11000061035156,367.739990234375
2024-01-31 09:54:00-05:00,185.01499938964844,14.489999771118164,66.86000061035156,132.17999267578125,164.83999633789062,114.0,82.16000366210938,367.92999267578125
2024-01-31 09:55:00-05:00,185.02000427246094,14.46500015258789,66.76000213623047,132.40499877929688,164.64999389648438,114.0,82.06999969482422,367.92999267578125
2024-01-31 09:56:00-05:00,184.9499969482422,14.475000381469727,66.77999877929688,132.55169677734375,164.5399932861328,113.95999908447266,82.16000366210938,367.2300109863281
2024-01-31 09:57:00-05:00,184.88999938964844,14.46500015258789,66.7699966430664,132.5050048828125,164.69000244140625,113.9175033569336,82.08000183105469,366.7449951171875
2024-01-31 09:58:00-05:00,184.88999938964844,14.430000305175781,66.7300033569336,132.49000549316406,164.67999267578125,113.87999725341797,82.20999908447266,366.8399963378906
2024-01-31 09:59:00-05:00,184.98500061035156,14.444999694824219,66.82710266113281,132.4600067138672,164.72000122070312,113.81999969482422,82.16999816894531,367.2237854003906
2024-01-31 10:00:00-05:00,185.0,14.460000038146973,66.88500213623047,132.32000732421875,164.73500061035156,113.9000015258789,82.05010223388672,367.32000732421875
2024-01-31 10:01:00-05:00,185.24000549316406,14.460000038146973,66.87999725341797,132.38499450683594,164.7899932861328,114.05000305175781,82.0199966430664,367.29998779296875
2024-01-31 10:02:00-05:00,185.3800048828125,14.432700157165527,66.75,132.3000030517578,164.91000366210938,114.02999877929688,82.0199966430664,367.4800109863281
2024-01-31 10:03:00-05:00,185.4069061279297,14.420000076293945,66.75,132.3800048828125,164.75999450683594,113.97000122070312,82.0199966430664,367.5899963378906
2024-01-31 10:04:00-05:00,185.5500030517578,14.410699844360352,66.66999816894531,132.3350067138672,164.83999633789062,113.97000122070312,82.05999755859375,367.7550048828125
2024-01-31 10:05:00-05:00,185.55999755859375,14.420000076293945,66.73500061035156,132.3699951171875,164.80999755859375,114.02999877929688,82.0199966430664,367.95001220703125
2024-01-31 10:06:00-05:00,185.5749969482422,14.404999732971191,66.66999816894531,132.50999450683594,164.74000549316406,114.05500030517578,82.1500015258789,368.4200134277344
2024-01-31 10:07:00-05:00,185.4600067138672,14.404999732971191,66.66999816894531,132.58999633789062,164.8000030517578,114.05000305175781,82.18000030517578,368.5
2024-01-31 10:08:00-05:00,185.4600067138672,14.390000343322754,66.66000366210938,132.53500366210938,164.77999877929688,114.0,82.16000366210938,368.59521484375
2024-01-31 10:09:00-05:00,185.52000427246094,14.40999984741211,66.66230010986328,132.64999389648438,164.7100067138672,113.9800033569336,82.16000366210938,368.82501220703125
2024-01-31 10:10:00-05:00,185.47999572753906,14.430000305175781,66.7300033569336,132.71499633789062,164.6199951171875,114.0,82.16999816894531,369.30499267578125
2024-01-31 10:11:00-05:00,185.36000061035156,14.4399995803833,66.66999816894531,132.72999572753906,164.75999450683594,113.99500274658203,82.2750015258789,368.8500061035156
2024-01-31 10:12:00-05:00,185.2899932861328,14.4350004196167,66.52999877929688,132.72000122070312,164.9149932861328,114.05999755859375,82.25,368.7200012207031
2024-01-31 10:13:00-05:00,185.17999267578125,14.430000305175781,66.54000091552734,132.80999755859375,164.99000549316406,114.0199966430664,82.16500091552734,368.44000244140625
2024-01-31 10:14:00-05:00,185.0800018310547,14.45110034942627,66.58799743652344,132.64500427246094,164.9199981689453,114.0,82.30999755859375,368.2200012207031
2024-01-31 10:15:00-05:00,185.11839294433594,14.4350004196167,66.51000213623047,132.3699951171875,164.75999450683594,114.0,82.30500030517578,368.1000061035156
2024-01-31 10:16:00-05:00,185.28900146484375,14.4350004196167,66.66999816894531,132.52000427246094,164.75,114.09089660644531,82.45999908447266,368.4949951171875
2024-01-31 10:17:00-05:00,185.5,14.444999694824219,66.66000366210938,132.64999389648438,164.7899932861328,114.12000274658203,82.51000213623047,368.57000732421875
2024-01-31 10:18:00-05:00,185.4600067138672,14.444999694824219,66.69000244140625,132.8000030517578,164.77000427246094,114.12000274658203,82.45999908447266,368.2099914550781
2024-01-31 10:19:00-05:00,185.53500366210938,14.430000305175781,66.74500274658203,132.63999938964844,164.75,114.11280059814453,82.51499938964844,367.9700012207031
2024-01-31 10:20:00-05:00,185.49000549316406,14.425000190734863,66.7300033569336,132.7899932861328,164.75,114.05999755859375,82.62000274658203,367.8800048828125
2024-01-31 10:21:00-05:00,185.36000061035156,14.453100204467773,66.88500213623047,132.74000549316406,164.77999877929688,114.0,82.5,368.0150146484375
2024-01-31 10:22:00-05:00,185.3000030517578,14.4399995803833,66.80999755859375,132.7050018310547,164.72999572753906,113.98999786376953,82.47000122070312,367.9100036621094
2024-01-31 10:23:00-05:00,185.22000122070312,14.4399995803833,66.70999908447266,,164.67999267578125,113.9800033569336,82.4000015258789,368.04998779296875
2024-01-31 10:24:00-05:00,185.1501007080078,14.430000305175781,66.69999694824219,132.1300048828125,164.7899932861328,113.83000183105469,82.29000091552734,368.04998779296875
2024-01-31 10:25:00-05:00,185.0800018310547,14.442999839782715,66.82879638671875,132.05999755859375,164.82000732421875,113.81999969482422,82.27999877929688,367.95001220703125
2024-01-31 10:26:00-05:00,185.11000061035156,14.470000267028809,66.99500274658203,,164.7899932861328,113.9175033569336,82.33000183105469,368.0899963378906
2024-01-31 10:27:00-05:00,185.05999755859375,14.479999542236328,67.08000183105469,,164.5800018310547,113.87000274658203,82.31999969482422,367.94500732421875
2024-01-31 10:28:00-05:00,184.9499969482422,14.529999732971191,67.06999969482422,132.5399932861328,164.6999969482422,113.88999938964844,82.4000015258789,367.5899963378906
2024-01-31 10:29:00-05:00,184.9550018310547,14.539999961853027,67.05999755859375,132.63999938964844,164.72000122070312,113.80999755859375,82.33000183105469,367.760009765625
2024-01-31 10:30:00-05:00,184.9499969482422,14.569999694824219,67.08920288085938,,164.75,113.80000305175781,82.29199981689453,367.8900146484375
2024-01-31 10:31:00-05:00,184.9600067138672,14.578900337219238,67.12000274658203,132.80999755859375,164.8249969482422,113.83000183105469,82.37999725341797,367.9750061035156
